LATITUDE,LONGITUDE,ScaledCountPerMinute,OBSERVATION COUNT,Season_Northeast Monsoon,Season_Second Inter-monsoon,Season_Southwest Monsoon,Season_Unknown,Season_Time,TimeOfDay_Evening,TimeOfDay_Morning
6.188598,81.2200356,-0.07409610001130516,4.0,False,False,True,False,False,False,True
6.188598,81.2200356,-0.07409610001130516,4.0,False,False,True,False,False,False,True
6.188598,81.2200356,-0.08142078709131424,,False,False,True,False,False,False,True
6.188598,81.2200356,-0.08142078709131424,,False,True,False,False,False,False,False
6.188598,81.2200356,-0.08142078709131424,,False,True,False,False,False,False,True
6.188598,81.2200356,-0.07043375647130062,4.0,False,True,False,False,False,False,True
6.188598,81.2200356,0.01624170730880678,40.0,False,True,False,False,False,False,True
6.188598,81.2200356,-0.08032208402931287,3.0,False,False,False,True,False,False,True
6.188598,81.2200356,-0.08068831838331333,1.0,False,False,False,True,False,False,True
6.1891958,81.2644983,-0.07409610001130516,2.0,False,False,False,True,False,False,True
6.188598,81.2200356,-0.06898263921960071,15.0,False,False,False,True,False,False,True
6.188598,81.2200356,-0.06849486871482763,1.0,False,False,False,True,False,False,True
6.188598,81.2200356,-0.08142078709131424,,False,False,False,True,False,False,True
6.188598,81.2200356,-0.07930789658746547,4.0,False,False,False,True,False,False,True
6.188598,81.2200356,-0.078997177395723,3.0,True,False,False,False,True,False,True
6.188598,81.2200356,-0.07624171541858055,7.0,True,False,False,False,True,False,True
6.188598,81.2200356,-0.0488666222912739,4.0,True,False,False,False,True,False,True
6.1492483,81.0666675,-0.02927894686074115,14.0,True,False,False,False,False,False,False
6.188598,81.2200356,-0.08142078709131424,,True,False,False,False,False,False,False
6.188598,81.2200356,-0.0778765836655034,2.0,True,False,False,False,True,False,True
6.188598,81.2200356,-0.04146794847308291,4.0,True,False,False,False,True,False,True
6.188598,81.2200356,-0.07732624151863836,3.0,True,False,False,False,True,False,True
