GLOBAL UNIQUE IDENTIFIER,LAST EDITED DATE,TAXONOMIC ORDER,CATEGORY,TAXON CONCEPT ID,COMMON NAME,SCIENTIFIC NAME,SUBSPECIES COMMON NAME,SUBSPECIES SCIENTIFIC NAME,EXOTIC CODE,OBSERVATION COUNT,BREEDING CODE,BREEDING CATEGORY,BEHAVIOR CODE,AGE/SEX,COUNTRY,COUNTRY CODE,STATE,STATE CODE,COUNTY,COUNTY CODE,IBA CODE,BCR CODE,USFWS CODE,ATLAS BLOCK,LOCALITY,LOCALITY ID,LOCALITY TYPE,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,SAMPLING EVENT IDENTIFIER,PROTOCOL TYPE,PROTOCOL CODE,PROJECT CODE,DURATION MINUTES,EFFORT DISTANCE KM,EFFORT AREA HA,NUMBER OBSERVERS,ALL SPECIES REPORTED,GROUP IDENTIFIER,HAS MEDIA,APPROVED,REVIEWED,REASON,TRIP COMMENTS,SPECIES COMMENTS,Unnamed: 49
URN:CornellLabOfOrnithology:EBIRD:OBS2064938336,2024-04-17 01:50:39.196494,24523,species,avibase-95F3F185,Red-vented Bulbul,Pycnonotus cafer,,,,20,,,,,Sri Lanka,LK,Hambantota,LK-33,Hambantota,LK-33-004,BIRDLIFE_15327,,,,Bundala NP (General),L1078558,H,6.188598,81.2200356,2024-04-17,05:44:00,obsr2830858,S168989047,Traveling,P22,EBIRD,326.0,17.81,,3.0,1,,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS2151962378,2024-05-13 00:43:15.649141,24523,species,avibase-95F3F185,Red-vented Bulbul,Pycnonotus cafer,,,,1,,,,,Sri Lanka,LK,Hambantota,LK-33,Hambantota,LK-33-004,BIRDLIFE_15327,,,,Hambantota Salt Pans,L4884284,H,6.1421762,81.1305571,2024-05-11,09:51:00,obsr1883897,S174165238,Traveling,P22,EBIRD,900.0,15.17,,1.0,1,G12351955,0,1,0,,"Seen between Hambantota and Kataragama, SL",,
URN:CornellLabOfOrnithology:EBIRD:OBS2144534690,2024-05-13 00:43:15.649141,24523,species,avibase-95F3F185,Red-vented Bulbul,Pycnonotus cafer,,,,1,,,,,Sri Lanka,LK,Hambantota,LK-33,Hambantota,LK-33-004,BIRDLIFE_15327,,,,Hambantota Salt Pans,L4884284,H,6.1421762,81.1305571,2024-05-11,09:51:00,obsr2956184,S173528087,Traveling,P22,EBIRD,900.0,15.17,,1.0,1,G12351955,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS2277007084,2024-06-28 02:09:07.422995,24523,species,avibase-95F3F185,Red-vented Bulbul,Pycnonotus cafer,,,,4,,,,,Sri Lanka,LK,Hambantota,LK-33,Hambantota,LK-33-004,,,,,"Mattala Interchange, Southern Expressway, Southern Province, LK (6.286, 81.077)",L27755316,P,6.2860783,81.0766483,2024-06-25,07:27:00,obsr2274768,S184124324,Stationary,P21,EBIRD,23.0,,,1.0,1,,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS2284262292,2024-06-30 22:26:06.633443,24523,species,avibase-95F3F185,Red-vented Bulbul,Pycnonotus cafer,,,,10,,,,,Sri Lanka,LK,Hambantota,LK-33,Hambantota,LK-33-004,,,,,Mirijjawila,L5105509,H,6.1210333,81.0691559,2024-06-22,13:10:00,obsr4787117,S184684009,Traveling,P22,EBIRD,80.0,2.0,,2.0,1,,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS2264510572,2024-06-22 21:54:00.813789,24523,species,avibase-95F3F185,Red-vented Bulbul,Pycnonotus cafer,,,,5,,,,,Sri Lanka,LK,Hambantota,LK-33,Hambantota,LK-33-004,BIRDLIFE_15327,,,,"Wewa 01 Unnamed Road, Southern Province, LK (6.19, 81.226)",L33772500,P,6.1902925,81.226044,2024-06-23,06:49:00,obsr1108110,S183180769,Traveling,P22,EBIRD,33.0,0.35,,1.0,1,,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS2264558146,2024-06-26 08:10:35.277302,24523,species,avibase-95F3F185,Red-vented Bulbul,Pycnonotus cafer,,,,7,,,,,Sri Lanka,LK,Hambantota,LK-33,Hambantota,LK-33-004,BIRDLIFE_15327,,,,Bundala NP (General),L1078558,H,6.188598,81.2200356,2024-06-23,07:24:00,obsr1108110,S183183289,Traveling,P22,EBIRD,12.0,2.81,,1.0,1,,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS2263015403,2024-06-22 09:48:27.29048,24523,species,avibase-95F3F185,Red-vented Bulbul,Pycnonotus cafer,,,,4,,,,,Sri Lanka,LK,Hambantota,LK-33,Hambantota,LK-33-004,,,,,"Wewa 01, Bundala National Park,Southern Province, LK (6.202, 81.225)",L33736422,P,6.2024333,81.2248733,2024-06-22,18:01:00,obsr1108110,S183045963,Traveling,P22,EBIRD,73.0,1.88,,1.0,1,,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS2264449023,2024-06-24 09:04:48.703101,24523,species,avibase-95F3F185,Red-vented Bulbul,Pycnonotus cafer,,,,9,,,,,Sri Lanka,LK,Hambantota,LK-33,Hambantota,LK-33-004,,,,,"Wewa 01, Bundala National Park,Southern Province, LK (6.202, 81.225)",L33736422,P,6.2024333,81.2248733,2024-06-23,05:45:00,obsr1108110,S183176890,Stationary,P21,EBIRD,61.0,,,1.0,1,,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS2277001393,2024-06-28 02:05:29.569685,24523,species,avibase-95F3F185,Red-vented Bulbul,Pycnonotus cafer,,,,4,,,,,Sri Lanka,LK,Hambantota,LK-33,Hambantota,LK-33-004,,,,,"Mattala Interchange, Southern Expressway, Southern Province, LK (6.286, 81.077)",L27755316,P,6.2860783,81.0766483,2024-06-25,07:18:00,obsr2274768,S184124186,Traveling,P22,EBIRD,8.0,0.77,,1.0,1,,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS2318576742,2024-07-15 11:00:32.363406,24523,species,avibase-95F3F185,Red-vented Bulbul,Pycnonotus cafer,,,,1,,,,,Sri Lanka,LK,Hambantota,LK-33,Hambantota,LK-33-004,,,,,District Secretariat - Hambanthota,L34750565,P,6.166613,81.1263404,2024-07-15,16:39:00,obsr1001147,S187128629,Stationary,P21,EBIRD,6.0,,,1.0,1,,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS2344817061,2024-08-05 21:26:32.753275,24523,species,avibase-95F3F185,Red-vented Bulbul,Pycnonotus cafer,,,,7,,,,,Sri Lanka,LK,Hambantota,LK-33,Hambantota,LK-33-004,BIRDLIFE_15327,,,,Bundala NP (General),L1078558,H,6.188598,81.2200356,2024-07-27,06:39:00,obsr3244459,S189001590,Traveling,P22,EBIRD,203.0,16.595,,2.0,1,G12800649,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS2470359376,2024-09-22 00:36:18.935777,24523,species,avibase-95F3F185,Red-vented Bulbul,Pycnonotus cafer,,,,X,,,,,Sri Lanka,LK,Hambantota,LK-33,Hambantota,LK-33-004,BIRDLIFE_15327,,,,Bundala NP (General),L1078558,H,6.188598,81.2200356,2024-07-06,14:30:00,obsr3513125,S195535527,Traveling,P22,EBIRD,240.0,15.0,,14.0,1,G13055732,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS2326454759,2024-07-18 22:57:15.712777,24523,species,avibase-95F3F185,Red-vented Bulbul,Pycnonotus cafer,,,,1,,,,,Sri Lanka,LK,Hambantota,LK-33,Hambantota,LK-33-004,,,,,District Secretariat - Hambanthota,L34750565,P,6.166613,81.1263404,2024-07-16,16:16:00,obsr1001147,S187624039,Stationary,P21,EBIRD,6.0,,,1.0,1,,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS2470330755,2024-09-22 00:36:18.935777,24523,species,avibase-95F3F185,Red-vented Bulbul,Pycnonotus cafer,,,,X,,,,,Sri Lanka,LK,Hambantota,LK-33,Hambantota,LK-33-004,BIRDLIFE_15327,,,,Bundala NP (General),L1078558,H,6.188598,81.2200356,2024-07-06,14:30:00,obsr1896891,S195534550,Traveling,P22,EBIRD,240.0,15.0,,14.0,1,G13055732,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS2473393624,2024-09-22 00:36:18.935777,24523,species,avibase-95F3F185,Red-vented Bulbul,Pycnonotus cafer,,,,X,,,,,Sri Lanka,LK,Hambantota,LK-33,Hambantota,LK-33-004,BIRDLIFE_15327,,,,Bundala NP (General),L1078558,H,6.188598,81.2200356,2024-07-06,14:30:00,obsr2934313,S195681252,Traveling,P22,EBIRD,240.0,15.0,,14.0,1,G13055732,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS2344824178,2024-07-27 01:42:20.125123,24523,species,avibase-95F3F185,Red-vented Bulbul,Pycnonotus cafer,,,,7,,,,,Sri Lanka,LK,Hambantota,LK-33,Hambantota,LK-33-004,BIRDLIFE_15327,,,,Bundala NP (General),L1078558,H,6.188598,81.2200356,2024-07-27,06:39:00,obsr1008548,S189001692,Traveling,P22,EBIRD,202.0,16.595,,2.0,1,G12800649,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS2344815497,2025-01-06 01:56:00.177723,24523,species,avibase-95F3F185,Red-vented Bulbul,Pycnonotus cafer,,,,7,,,,,Sri Lanka,LK,Hambantota,LK-33,Hambantota,LK-33-004,BIRDLIFE_15327,,,,Bundala NP (General),L1078558,H,6.188598,81.2200356,2024-07-27,06:39:00,obsr893589,S189001554,Traveling,P22,EBIRD,202.0,16.407,,2.0,1,,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS2320223901,2024-07-16 04:27:06.827509,24523,species,avibase-95F3F185,Red-vented Bulbul,Pycnonotus cafer,,,,10,,,,,Sri Lanka,LK,Hambantota,LK-33,Hambantota,LK-33-004,BIRDLIFE_15327,,,,Bundala NP (General),L1078558,H,6.188598,81.2200356,2024-07-15,15:27:00,obsr1519216,S187221503,Traveling,P22,EBIRD,155.0,18.915,,14.0,1,,0,1,0,,,,
