GLOBAL UNIQUE IDENTIFIER,LAST EDITED DATE,TAXONOMIC ORDER,CATEGORY,TAXON CONCEPT ID,COMMON NAME,SCIENTIFIC NAME,SUBSPECIES COMMON NAME,SUBSPECIES SCIENTIFIC NAME,EXOTIC CODE,OBSERVATION COUNT,BREEDING CODE,BREEDING CATEGORY,BEHAVIOR CODE,AGE/SEX,COUNTRY,COUNTRY CODE,STATE,STATE CODE,COUNTY,COUNTY CODE,IBA CODE,BCR CODE,USFWS CODE,ATLAS BLOCK,LOCALITY,LOCALITY ID,LOCALITY TYPE,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,SAMPLING EVENT IDENTIFIER,PROTOCOL TYPE,PROTOCOL CODE,PROJECT CODE,DURATION MINUTES,EFFORT DISTANCE KM,EFFORT AREA HA,NUMBER OBSERVERS,ALL SPECIES REPORTED,GROUP IDENTIFIER,HAS MEDIA,APPROVED,REVIEWED,REASON,TRIP COMMENTS,SPECIES COMMENTS,Unnamed: 49
URN:CornellLabOfOrnithology:EBIRD:OBS1202496632,2022-10-22 00:22:54.146823,9975,species,avibase-B30B6781,White-throated Kingfisher,Halcyon smyrnensis,,,,1,,,,,Sri Lanka,LK,Hambantota,LK-33,Thissamaharama,LK-33-010,,,,,Yoda Lake,L15917274,H,6.267568,81.3103445,2021-07-18,06:00:00,obsr1091489,S91912471,Stationary,P21,EBIRD,35.0,,,1.0,1,,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS1209229555,2023-10-22 02:54:36.436412,9975,species,avibase-B30B6781,White-throated Kingfisher,Halcyon smyrnensis,,,,4,,,,,Sri Lanka,LK,Hambantota,LK-33,Thissamaharama,LK-33-010,,,,,Yoda Lake,L15917274,H,6.267568,81.3103445,2021-07-30,17:25:00,obsr1091489,S92505719,Traveling,P22,EBIRD,50.0,3.2,,2.0,1,,1,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS1201885016,2024-08-25 04:14:53.039278,9975,species,avibase-B30B6781,White-throated Kingfisher,Halcyon smyrnensis,,,,2,,,,,Sri Lanka,LK,Hambantota,LK-33,Thissamaharama,LK-33-010,,,,,Yoda Lake,L15917274,H,6.267568,81.3103445,2021-07-17,06:00:00,obsr1091489,S91857938,Stationary,P21,EBIRD,80.0,,,2.0,1,,1,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS1198079803,2023-10-23 19:19:42.820758,9975,species,avibase-B30B6781,White-throated Kingfisher,Halcyon smyrnensis,,,,3,,,,,Sri Lanka,LK,Hambantota,LK-33,Thissamaharama,LK-33-010,,,,,Palatupana - Kirinda Yala NP Road,L14534478,P,6.2328926,81.3536954,2021-07-10,09:30:00,obsr1091489,S91519878,Traveling,P22,EBIRD,105.0,12.0,,2.0,1,,1,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS1196938606,2023-10-23 19:19:41.688167,9975,species,avibase-B30B6781,White-throated Kingfisher,Halcyon smyrnensis,,,,1,,,,,Sri Lanka,LK,Hambantota,LK-33,Thissamaharama,LK-33-010,,,,,Yoda Lake,L15917274,H,6.267568,81.3103445,2021-07-08,06:00:00,obsr1091489,S91422805,Traveling,P22,EBIRD,105.0,2.0,,2.0,1,,1,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS1201385511,2022-10-22 00:28:29.721639,9975,species,avibase-B30B6781,White-throated Kingfisher,Halcyon smyrnensis,,,,1,,,,,Sri Lanka,LK,Hambantota,LK-33,Thissamaharama,LK-33-010,,,,,Yoda Lake,L15917274,H,6.267568,81.3103445,2021-07-16,06:15:00,obsr1091489,S91813751,Stationary,P21,EBIRD,40.0,,,1.0,1,,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS1209528987,2023-10-22 02:55:14.223068,9975,species,avibase-B30B6781,White-throated Kingfisher,Halcyon smyrnensis,,,,2,,,,,Sri Lanka,LK,Hambantota,LK-33,Thissamaharama,LK-33-010,,,,,Yoda Lake,L15917274,H,6.267568,81.3103445,2021-07-31,06:35:00,obsr1091489,S92532799,Traveling,P22,EBIRD,1110.0,2.4,,2.0,1,,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS1201528312,2023-10-23 19:19:46.544303,9975,species,avibase-B30B6781,White-throated Kingfisher,Halcyon smyrnensis,,,,3,,,,,Sri Lanka,LK,Hambantota,LK-33,Thissamaharama,LK-33-010,,,,,Yoda Lake,L15917274,H,6.267568,81.3103445,2021-07-16,16:23:00,obsr1091489,S91824066,Traveling,P22,EBIRD,129.0,3.3,,2.0,1,,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS1209736014,2023-10-23 19:19:55.606695,9975,species,avibase-B30B6781,White-throated Kingfisher,Halcyon smyrnensis,,,,13,,,,,Sri Lanka,LK,Hambantota,LK-33,Thissamaharama,LK-33-010,,,,,Yoda Lake,L15917274,H,6.267568,81.3103445,2021-07-31,15:50:00,obsr1091489,S92550085,Traveling,P22,EBIRD,100.0,2.8,,2.0,1,,1,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS1196016743,2022-10-22 00:22:24.841275,9975,species,avibase-B30B6781,White-throated Kingfisher,Halcyon smyrnensis,,,,1,,,,,Sri Lanka,LK,Hambantota,LK-33,Thissamaharama,LK-33-010,,,,,Yoda Lake,L15917274,H,6.267568,81.3103445,2021-07-06,15:35:00,obsr1091489,S91340886,Stationary,P21,EBIRD,75.0,,,2.0,1,,0,1,0,,,,
