GLOBAL UNIQUE IDENTIFIER,LAST EDITED DATE,TAXONOMIC ORDER,CATEGORY,TAXON CONCEPT ID,COMMON NAME,SCIENTIFIC NAME,SUBSPECIES COMMON NAME,SUBSPECIES SCIENTIFIC NAME,EXOTIC CODE,OBSERVATION COUNT,BREEDING CODE,BREEDING CATEGORY,BEHAVIOR CODE,AGE/SEX,COUNTRY,COUNTRY CODE,STATE,STATE CODE,COUNTY,COUNTY CODE,IBA CODE,BCR CODE,USFWS CODE,ATLAS BLOCK,LOCALITY,LOCALITY ID,LOCALITY TYPE,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,SAMPLING EVENT IDENTIFIER,PROTOCOL TYPE,PROTOCOL CODE,PROJECT CODE,DURATION MINUTES,EFFORT DISTANCE KM,EFFORT AREA HA,NUMBER OBSERVERS,ALL SPECIES REPORTED,GROUP IDENTIFIER,HAS MEDIA,APPROVED,REVIEWED,REASON,TRIP COMMENTS,SPECIES COMMENTS,Unnamed: 49
URN:CornellLabOfOrnithology:EBIRD:OBS1404687785,2023-10-23 19:25:17.869625,24523,species,,Red-vented Bulbul,Pycnonotus cafer,,,,X,,,,,Sri Lanka,LK,Hambantota,LK-33,Ambalantota,LK-33-001,,,,,Kalametiya Bird Sanctuary,L5662667,H,6.0906125,80.9354124,2022-04-26,05:48:00,obsr2300789,S108091616,Traveling,P22,EBIRD,157.0,7.45,,2.0,0,,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS1400593804,2023-10-23 19:25:12.83899,24523,species,,Red-vented Bulbul,Pycnonotus cafer,,,,1,,,,,Sri Lanka,LK,Hambantota,LK-33,Ambalantota,LK-33-001,,,,,Kalametiya Bird Sanctuary,L5662667,H,6.0906125,80.9354124,2022-04-23,06:08:00,obsr2310276,S107751463,Traveling,P22,EBIRD,183.0,4.744,,1.0,1,,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS1385086856,2023-10-22 20:02:29.676423,24523,species,,Red-vented Bulbul,Pycnonotus cafer,,,,6,,,,,Sri Lanka,LK,Hambantota,LK-33,Ambalantota,LK-33-001,,,,,Kalametiya Sanctuary- Lunama Lagoon,L17638956,P,6.0957235,80.9555139,2022-04-07,12:38:00,obsr1001147,S106448909,Traveling,P22,EBIRD,29.0,0.32,,1.0,1,G8160389,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS1389577783,2023-10-22 03:01:28.936185,24523,species,,Red-vented Bulbul,Pycnonotus cafer,,,,3,,,,,Sri Lanka,LK,Hambantota,LK-33,Ambalantota,LK-33-001,,,,,"Kalamatiya Road, Kalametiya, Southern Province, LK (6.099, 80.955)",L18402546,P,6.0985829,80.9547514,2022-04-07,12:32:00,obsr3047223,S106828953,Stationary,P21,EBIRD,5.0,,,1.0,1,G8160390,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS1443636536,2022-06-14 04:03:32.451649,24523,species,,Red-vented Bulbul,Pycnonotus cafer,,,,4,,,,,Sri Lanka,LK,Hambantota,LK-33,Ambalantota,LK-33-001,,,,,"Rumba Viharaya (6.195, 80.95)",L19296169,P,6.19478,80.9499733,2022-05-27,13:31:00,obsr662880,S111385348,Traveling,P22,EBIRD,73.0,1.82,,2.0,1,G8553323,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS1459055807,2022-06-14 04:03:32.451649,24523,species,,Red-vented Bulbul,Pycnonotus cafer,,,,4,,,,,Sri Lanka,LK,Hambantota,LK-33,Ambalantota,LK-33-001,,,,,"Rumba Viharaya (6.195, 80.95)",L19296169,P,6.19478,80.9499733,2022-05-27,13:31:00,obsr1108110,S112907405,Traveling,P22,EBIRD,73.0,1.82,,2.0,1,G8553323,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS1565891507,2023-10-23 19:27:57.716855,24523,species,,Red-vented Bulbul,Pycnonotus cafer,,,,9,,,,,Sri Lanka,LK,Hambantota,LK-33,Ambalantota,LK-33-001,,,,,Kalametiya Sanctuary- Lunama Lagoon,L17638956,P,6.0957235,80.9555139,2022-11-19,16:15:00,obsr1064534,S122727293,Stationary,P21,EBIRD,71.0,,,5.0,1,G9199364,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS1564954113,2023-10-23 19:27:56.284693,24523,species,,Red-vented Bulbul,Pycnonotus cafer,,,,9,,,,,Sri Lanka,LK,Hambantota,LK-33,Ambalantota,LK-33-001,,,,,Kalametiya Sanctuary- Lunama Lagoon,L17638956,P,6.0957235,80.9555139,2022-11-19,16:15:00,obsr1001147,S122652137,Stationary,P21,EBIRD,71.0,,,5.0,1,G9199364,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS1564389025,2023-10-23 19:27:54.666486,24523,species,,Red-vented Bulbul,Pycnonotus cafer,,,,7,,,,,Sri Lanka,LK,Hambantota,LK-33,Ambalantota,LK-33-001,,,,,Kalamatiya Sanctuary,L21566523,P,6.089234,80.9489068,2022-11-18,16:43:00,obsr1001147,S122608915,Traveling,P22,EBIRD,58.0,3.0,,2.0,1,G9192411,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS1571647335,2023-03-22 03:16:16.871336,24523,species,,Red-vented Bulbul,Pycnonotus cafer,,,,X,,,,,Sri Lanka,LK,Hambantota,LK-33,Ambalantota,LK-33-001,,,,,Kalametiya Bird Sanctuary,L5662667,H,6.0906125,80.9354124,2022-11-29,06:42:00,obsr823365,S123194420,Traveling,P22,EBIRD,143.0,4.54,,1.0,1,,0,1,0,,,,
