COMMON NAME,OBSERVATION COUNT,COUNTY,LOCALITY,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED
Red-vented Bulbul,4,Ambalantota,Kalamatiya Road Kalametiya Southern Province,6.0858799,80.9438797,2021-12-15,12:33:00
Red-vented Bulbul,4,Ambalantota,Kalamatiya Road Kalametiya Southern Province,6.0858799,80.9438797,2021-12-15,12:33:00
Red-vented Bulbul,5,Ambalantota,Kalametiya Bird Sanctuary,6.0906125,80.9354124,2021-12-18,09:57:00
Red-vented Bulbul,X,Ambalantota,Kalametiya,6.0977986,80.9622002,2021-12-18,11:11:00
Red-vented Bulbul,4,Ambalantota,Kalametiya Bird Sanctuary,6.0799399,80.9329748,2022-01-02,16:30:00
Red-vented Bulbul,4,Ambalantota,Villa Tanderra,6.076015,80.9329447,2022-01-03,06:30:00
Red-vented Bulbul,8,Ambalantota,Gurupokuna  Kalametiya,6.0837023,80.9323441,2022-02-04,15:42:00
Red-vented Bulbul,3,Ambalantota,Hungama  Gurupokuna Road Southern Province,6.0968647,80.9243003,2022-02-04,15:28:00
Red-vented Bulbul,3,Ambalantota,Hungama  Gurupokuna Road Southern Province,6.0968647,80.9243003,2022-02-04,15:28:00
Red-vented Bulbul,4,Ambalantota,Kalametiya Sanctuary Lunama Lagoon,6.0957235,80.9555139,2022-02-04,16:35:00
Red-vented Bulbul,8,Ambalantota,Gurupokuna  Kalametiya,6.0837023,80.9323441,2022-02-04,15:42:00
Red-vented Bulbul,3,Ambalantota,Hungama  Gurupokuna Road Southern Province,6.0968647,80.9243003,2022-02-04,15:28:00
Red-vented Bulbul,8,Ambalantota,Gurupokuna  Kalametiya,6.0837023,80.9323441,2022-02-04,15:42:00
Red-vented Bulbul,4,Ambalantota,Kalametiya Sanctuary Lunama Lagoon,6.0957235,80.9555139,2022-02-04,16:35:00
Red-vented Bulbul,8,Ambalantota,Gurupokuna  Kalametiya,6.0837023,80.9323441,2022-02-04,15:42:00
Red-vented Bulbul,4,Ambalantota,Kalamatiya Road Kalametiya Southern Province,6.09382,80.9541666,2022-02-02,16:32:00
Red-vented Bulbul,4,Ambalantota,Kalametiya Sanctuary Lunama Lagoon,6.0957235,80.9555139,2022-02-04,16:35:00
Red-vented Bulbul,X,Ambalantota,Kalametiya Bird Sanctuary,6.0906125,80.9354124,2022-02-19,09:30:00
Red-vented Bulbul,3,Ambalantota,Hungama  Gurupokuna Road Southern Province,6.0968647,80.9243003,2022-02-04,15:28:00
Red-vented Bulbul,4,Ambalantota,Kalametiya Sanctuary Lunama Lagoon,6.0957235,80.9555139,2022-02-04,16:35:00
Red-vented Bulbul,X,Ambalantota,Kalametiya Bird Sanctuary,6.0906125,80.9354124,2022-03-24,06:50:00
Red-vented Bulbul,6,Ambalantota,Kalametiya Sanctuary Lunama Lagoon,6.0957235,80.9555139,2022-04-07,12:38:00
Red-vented Bulbul,3,Ambalantota,Kalamatiya Road Kalametiya Southern Province,6.0985829,80.9547514,2022-04-07,12:32:00
Red-vented Bulbul,1,Ambalantota,Kalametiya Bird Sanctuary,6.0906125,80.9354124,2022-04-23,09:12:00
Red-vented Bulbul,2,Ambalantota,Kalametiya Bird Sanctuary,6.0906125,80.9354124,2022-04-15,14:49:00
Red-vented Bulbul,X,Ambalantota,Kalametiya Bird Sanctuary,6.0906125,80.9354124,2022-04-26,05:48:00
Red-vented Bulbul,1,Ambalantota,Kalametiya Bird Sanctuary,6.0906125,80.9354124,2022-04-23,06:08:00
Red-vented Bulbul,6,Ambalantota,Kalametiya Sanctuary Lunama Lagoon,6.0957235,80.9555139,2022-04-07,12:38:00
Red-vented Bulbul,3,Ambalantota,Kalamatiya Road Kalametiya Southern Province,6.0985829,80.9547514,2022-04-07,12:32:00
Red-vented Bulbul,4,Ambalantota,Rumba Viharaya,6.19478,80.9499733,2022-05-27,13:31:00
Red-vented Bulbul,4,Ambalantota,Rumba Viharaya,6.19478,80.9499733,2022-05-27,13:31:00
Red-vented Bulbul,9,Ambalantota,Kalametiya Sanctuary Lunama Lagoon,6.0957235,80.9555139,2022-11-19,16:15:00
