GLOBAL UNIQUE IDENTIFIER,LAST EDITED DATE,TAXONOMIC ORDER,CATEGORY,TAXON CONCEPT ID,COMMON NAME,SCIENTIFIC NAME,SUBSPECIES COMMON NAME,SUBSPECIES SCIENTIFIC NAME,EXOTIC CODE,OBSERVATION COUNT,BREEDING CODE,BREEDING CATEGORY,BEHAVIOR CODE,AGE/SEX,COUNTRY,COUNTRY CODE,STATE,STATE CODE,COUNTY,COUNTY CODE,IBA CODE,BCR CODE,USFWS CODE,ATLAS BLOCK,LOCALITY,LOCALITY ID,LOCALITY TYPE,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,SAMPLING EVENT IDENTIFIER,PROTOCOL TYPE,PROTOCOL CODE,PROJECT CODE,DURATION MINUTES,EFFORT DISTANCE KM,EFFORT AREA HA,NUMBER OBSERVERS,ALL SPECIES REPORTED,GROUP IDENTIFIER,HAS MEDIA,APPROVED,REVIEWED,REASON,TRIP COMMENTS,SPECIES COMMENTS,Unnamed: 49
URN:CornellLabOfOrnithology:EBIRD:OBS1032155018,2023-10-23 19:16:00.673338,24523,species,avibase-95F3F185,Red-vented Bulbul,Pycnonotus cafer,,,,15,,,,,Sri Lanka,LK,Hambantota,LK-33,Ambalantota,LK-33-001,,,,,Kalametiya,L1078573,H,6.0977986,80.9622002,2020-12-20,05:45:00,obsr357036,S77717281,Traveling,P22,EBIRD,180.0,10.0,,2.0,1,,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS1060302371,2023-10-23 19:16:54.096833,24523,species,avibase-95F3F185,Red-vented Bulbul,Pycnonotus cafer,,,,5,,,,,Sri Lanka,LK,Hambantota,LK-33,Ambalantota,LK-33-001,,,,,Kalametiya Bird Sanctuary,L5662667,H,6.0906125,80.9354124,2021-01-27,06:30:00,obsr922075,S79959369,Traveling,P22,EBIRD,240.0,4.0,,2.0,1,,0,1,0,,With Athula,,
URN:CornellLabOfOrnithology:EBIRD:OBS1065658485,2023-10-23 19:17:04.889918,24523,species,avibase-95F3F185,Red-vented Bulbul,Pycnonotus cafer,,,,10,,,,,Sri Lanka,LK,Hambantota,LK-33,Ambalantota,LK-33-001,,,,,"Kalametiya Sanctuary, Gurupokuna Side",L13482872,P,6.1034762,80.9214061,2021-02-04,13:20:00,obsr225081,S80403926,Traveling,P22,EBIRD,82.0,6.1,,1.0,1,G6244692,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS1065623497,2024-10-22 20:33:01.145858,24523,species,avibase-95F3F185,Red-vented Bulbul,Pycnonotus cafer,,,,2,,,,,Sri Lanka,LK,Hambantota,LK-33,Ambalantota,LK-33-001,,,,,Kalametiya Bird Sanctuary,L5662667,H,6.0906125,80.9354124,2021-02-04,15:38:00,obsr1001147,S80401075,Traveling,P22,EBIRD,120.0,6.0,,5.0,1,G6244661,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS1065616329,2024-10-22 20:33:29.341714,24523,species,avibase-95F3F185,Red-vented Bulbul,Pycnonotus cafer,,,,2,,,,,Sri Lanka,LK,Hambantota,LK-33,Ambalantota,LK-33-001,,,,,Kalametiya Bird Sanctuary,L5662667,H,6.0906125,80.9354124,2021-02-04,15:38:00,obsr1001137,S80400648,Traveling,P22,EBIRD,120.0,6.0,,5.0,1,G6244661,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS1065653419,2024-10-22 20:33:20.962951,24523,species,avibase-95F3F185,Red-vented Bulbul,Pycnonotus cafer,,,,2,,,,,Sri Lanka,LK,Hambantota,LK-33,Ambalantota,LK-33-001,,,,,Kalametiya Bird Sanctuary,L5662667,H,6.0906125,80.9354124,2021-02-04,15:38:00,obsr225081,S80403756,Traveling,P22,EBIRD,120.0,6.0,,5.0,1,G6244661,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS1065581635,2023-10-23 19:17:04.278509,24523,species,avibase-95F3F185,Red-vented Bulbul,Pycnonotus cafer,,,,10,,,,,Sri Lanka,LK,Hambantota,LK-33,Ambalantota,LK-33-001,,,,,"Kalametiya Sanctuary, Gurupokuna Side",L13482872,P,6.1034762,80.9214061,2021-02-04,13:20:00,obsr580318,S80398656,Traveling,P22,EBIRD,82.0,6.1,,1.0,1,G6244692,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS1065636335,2023-10-23 19:17:04.519575,24523,species,avibase-95F3F185,Red-vented Bulbul,Pycnonotus cafer,,,,10,,,,,Sri Lanka,LK,Hambantota,LK-33,Ambalantota,LK-33-001,,,,,"Kalametiya Sanctuary, Gurupokuna Side",L13482872,P,6.1034762,80.9214061,2021-02-04,13:20:00,obsr1001147,S80401847,Traveling,P22,EBIRD,82.0,6.1,,1.0,1,G6244692,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS1065627972,2024-10-22 20:33:12.325378,24523,species,avibase-95F3F185,Red-vented Bulbul,Pycnonotus cafer,,,,2,,,,,Sri Lanka,LK,Hambantota,LK-33,Ambalantota,LK-33-001,,,,,Kalametiya Bird Sanctuary,L5662667,H,6.0906125,80.9354124,2021-02-04,15:38:00,obsr580318,S80401082,Traveling,P22,EBIRD,120.0,6.0,,5.0,1,G6244661,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS1065641624,2023-10-23 19:17:04.643993,24523,species,avibase-95F3F185,Red-vented Bulbul,Pycnonotus cafer,,,,10,,,,,Sri Lanka,LK,Hambantota,LK-33,Ambalantota,LK-33-001,,,,,"Kalametiya Sanctuary, Gurupokuna Side",L13482872,P,6.1034762,80.9214061,2021-02-04,13:20:00,obsr1001137,S80402420,Traveling,P22,EBIRD,82.0,6.1,,1.0,1,G6244692,0,1,0,,,,
