GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	TAXON CONCEPT ID	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	EXOTIC CODE	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS2605044924	2024-11-11 06:01:50.409534	9724	species	avibase-avibase-809951F0	Blue-tailed Bee-eater	Merops philippinus				4					Sri Lanka	LK	Hambantota	LK-33	Ambalantota	LK-33-001					Kalametiya Sanctuary- Lunama Lagoon	L17638956	P	6.0957235	80.9555139	2022-02-04	16:35:00	obsr333980	S202125231	Traveling	P22	EBIRD	60	1.010		7	1	G7821541	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1387987294	2023-10-23 19:24:56.87103	9724	species	avibase-avibase-809951F0	Blue-tailed Bee-eater	Merops philippinus				2					Sri Lanka	LK	Hambantota	LK-33	Ambalantota	LK-33-001					Kalametiya Bird Sanctuary	L5662667	H	6.0906125	80.9354124	2022-04-10	16:47:00	obsr2300789	S106693400	Traveling	P22	EBIRD	98	2.500		2	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1565891476	2023-10-23 19:27:57.716855	9724	species	avibase-avibase-809951F0	Blue-tailed Bee-eater	Merops philippinus				10					Sri Lanka	LK	Hambantota	LK-33	Ambalantota	LK-33-001					Kalametiya Sanctuary- Lunama Lagoon	L17638956	P	6.0957235	80.9555139	2022-11-19	16:15:00	obsr1064534	S122727293	Stationary	P21	EBIRD	71			5	1	G9199364	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1564638730	2023-10-23 19:27:54.920507	9724	species	avibase-avibase-809951F0	Blue-tailed Bee-eater	Merops philippinus				14					Sri Lanka	LK	Hambantota	LK-33	Ambalantota	LK-33-001					Kalamatiya Sanctuary	L21566523	P	6.0892340	80.9489068	2022-11-18	14:39:00	obsr1351039	S122629571	Traveling	P22	EBIRD	91	4.500		2	1	G9192410	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1564954082	2023-10-23 19:27:56.284693	9724	species	avibase-avibase-809951F0	Blue-tailed Bee-eater	Merops philippinus				10					Sri Lanka	LK	Hambantota	LK-33	Ambalantota	LK-33-001					Kalametiya Sanctuary- Lunama Lagoon	L17638956	P	6.0957235	80.9555139	2022-11-19	16:15:00	obsr1001147	S122652137	Stationary	P21	EBIRD	71			5	1	G9199364	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1568837237	2023-10-23 19:28:02.806532	9724	species	avibase-avibase-809951F0	Blue-tailed Bee-eater	Merops philippinus				10					Sri Lanka	LK	Hambantota	LK-33	Ambalantota	LK-33-001					Kalametiya Sanctuary- Lunama Lagoon	L17638956	P	6.0957235	80.9555139	2022-11-19	16:15:00	obsr1719639	S122966926	Stationary	P21	EBIRD	71			5	1	G9199364	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1565800387	2023-10-23 19:27:57.411589	9724	species	avibase-avibase-809951F0	Blue-tailed Bee-eater	Merops philippinus				10					Sri Lanka	LK	Hambantota	LK-33	Ambalantota	LK-33-001					Kalametiya Sanctuary- Lunama Lagoon	L17638956	P	6.0957235	80.9555139	2022-11-19	16:15:00	obsr1346514	S122719338	Stationary	P21	EBIRD	71			5	1	G9199364	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1567106620	2023-10-23 19:28:00.024396	9724	species	avibase-avibase-809951F0	Blue-tailed Bee-eater	Merops philippinus				18					Sri Lanka	LK	Hambantota	LK-33	Ambalantota	LK-33-001					Kalamatiya Sanctuary	L21566523	P	6.0892340	80.9489068	2022-11-18	16:43:00	obsr1351039	S122822450	Traveling	P22	EBIRD	58	3.000		2	1	G9192411	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1564378207	2023-10-23 19:27:54.546665	9724	species	avibase-avibase-809951F0	Blue-tailed Bee-eater	Merops philippinus				14					Sri Lanka	LK	Hambantota	LK-33	Ambalantota	LK-33-001					Kalamatiya Sanctuary	L21566523	P	6.0892340	80.9489068	2022-11-18	14:39:00	obsr1001147	S122607913	Traveling	P22	EBIRD	91	4.500		2	1	G9192410	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1564392491	2023-10-23 19:27:54.666486	9724	species	avibase-avibase-809951F0	Blue-tailed Bee-eater	Merops philippinus				18					Sri Lanka	LK	Hambantota	LK-33	Ambalantota	LK-33-001					Kalamatiya Sanctuary	L21566523	P	6.0892340	80.9489068	2022-11-18	16:43:00	obsr1001147	S122608915	Traveling	P22	EBIRD	58	3.000		2	1	G9192411	0	1	0				
