GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	TAXON CONCEPT ID	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	EXOTIC CODE	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS1616254246	2023-10-23 19:29:28.875171	9975	species	avibase-avibase-B30B6781	White-throated Kingfisher	Halcyon smyrnensis				3					Sri Lanka	LK	Hambantota	LK-33	Ambalantota	LK-33-001					Kalametiya Bird Sanctuary	L5662667	H	6.0906125	80.9354124	2023-01-27	11:29:00	obsr2300789	S127021765	Traveling	P22	EBIRD	87	6.760		3	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1353502286	2022-02-27 05:16:49.280592	9975	species	avibase-avibase-B30B6781	White-throated Kingfisher	Halcyon smyrnensis				1					Sri Lanka	LK	Hambantota	LK-33	Angunakolapelessa	LK-33-002					Agunukolapelessa Kepu Ela	L17940881	P	6.1620879	80.8989529	2022-02-27	13:32:00	obsr1001147	S103808361	Traveling	P22	EBIRD	20	0.270		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1602946302	2023-10-22 03:06:26.35024	9975	species	avibase-avibase-B30B6781	White-throated Kingfisher	Halcyon smyrnensis				1					Sri Lanka	LK	Hambantota	LK-33	Angunakolapelessa	LK-33-002					Southern Expressway, Southern Province, LK (6.166, 80.854)	L22146932	P	6.1658488	80.8537020	2023-01-10	14:08:00	obsr1508301	S125847575	Traveling	P22	EBIRD	20	2.000		2	1	G9469525	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1602799232	2023-10-22 03:06:25.412423	9975	species	avibase-avibase-B30B6781	White-throated Kingfisher	Halcyon smyrnensis				1					Sri Lanka	LK	Hambantota	LK-33	Angunakolapelessa	LK-33-002					Southern Expressway, Southern Province, LK (6.166, 80.854)	L22146932	P	6.1658488	80.8537020	2023-01-10	14:08:00	obsr1377693	S125834305	Traveling	P22	EBIRD	20	2.000		2	1	G9469525	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1333946029	2023-10-22 02:58:59.721743	9975	species	avibase-avibase-B30B6781	White-throated Kingfisher	Halcyon smyrnensis				3					Sri Lanka	LK	Hambantota	LK-33	Beliatta	LK-33-003					Ampitiya Lake, Beliatta, Southern Province, LK (6.041, 80.741)	L17637822	P	6.0412961	80.7412477	2022-02-04	11:31:00	obsr1001147	S101986318	Traveling	P22	EBIRD	22	0.150		5	1	G7820995	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1333948091	2023-10-22 02:58:59.365321	9975	species	avibase-avibase-B30B6781	White-throated Kingfisher	Halcyon smyrnensis				3					Sri Lanka	LK	Hambantota	LK-33	Beliatta	LK-33-003					Ampitiya Lake, Beliatta, Southern Province, LK (6.041, 80.741)	L17637822	P	6.0412961	80.7412477	2022-02-04	11:31:00	obsr333980	S101986243	Traveling	P22	EBIRD	22	0.150		5	1	G7820995	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1334049483	2023-10-22 02:59:01.490783	9975	species	avibase-avibase-B30B6781	White-throated Kingfisher	Halcyon smyrnensis				1					Sri Lanka	LK	Hambantota	LK-33	Beliatta	LK-33-003					Isuru Villa - Beliaththa	L17638131	P	6.0424899	80.7549121	2022-02-04	13:04:00	obsr333980	S101992304	Stationary	P21	EBIRD	40			5	1	G7821285	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1333936907	2023-10-22 02:58:59.264892	9975	species	avibase-avibase-B30B6781	White-throated Kingfisher	Halcyon smyrnensis				3					Sri Lanka	LK	Hambantota	LK-33	Beliatta	LK-33-003					Ampitiya Lake, Beliatta, Southern Province, LK (6.041, 80.741)	L17637822	P	6.0412961	80.7412477	2022-02-04	11:31:00	obsr225081	S101985695	Traveling	P22	EBIRD	22	0.150		5	1	G7820995	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1333963100	2023-10-22 02:58:59.810754	9975	species	avibase-avibase-B30B6781	White-throated Kingfisher	Halcyon smyrnensis				1					Sri Lanka	LK	Hambantota	LK-33	Beliatta	LK-33-003					Isuru Villa - Beliaththa	L17638131	P	6.0424899	80.7549121	2022-02-04	13:04:00	obsr1001147	S101987262	Stationary	P21	EBIRD	40			5	1	G7821285	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1334059375	2023-10-22 02:59:01.906337	9975	species	avibase-avibase-B30B6781	White-throated Kingfisher	Halcyon smyrnensis				3					Sri Lanka	LK	Hambantota	LK-33	Beliatta	LK-33-003					Ampitiya Lake, Beliatta, Southern Province, LK (6.041, 80.741)	L17637822	P	6.0412961	80.7412477	2022-02-04	11:31:00	obsr580318	S101993609	Traveling	P22	EBIRD	22	0.150		5	1	G7820995	0	1	0				
