LATITUDE,LONGITUDE,ScaledCountPerMinute,ScaledCountPerKM,Season_Northeast Monsoon,Season_Southwest Monsoon,TimeOfDay_Morning,Month,DayOfWeek,OBSERVATION COUNT
6.188598,81.2200356,-0.5210066978775536,-0.16748091984648525,True,False,True,1,5,3.0
6.188598,81.2200356,-0.5729315449280724,-0.17073252789150967,True,False,False,1,5,
6.188598,81.2200356,-0.522737526112571,-0.16097770375643636,True,False,True,1,2,3.0
6.188598,81.2200356,-0.522737526112571,-0.16097770375643636,True,False,True,1,2,3.0
6.188598,81.2200356,-0.5729315449280724,-0.17073252789150967,True,False,True,1,3,
6.2009688,81.195205,-0.22274071598271317,-0.07318428654077658,True,False,False,1,4,3.0
6.200155,81.1985585,-0.24270773693135209,-0.0703742548969283,True,False,True,1,5,5.0
6.1963995,81.2109113,-0.40836099143462484,-0.15830995656381364,True,False,True,1,2,4.0
6.200155,81.1985585,-0.4562012686129526,-0.13357129309123042,True,False,False,2,4,2.0
6.208067,81.20734,-0.41607523612963027,-0.1022776216804689,True,False,False,2,5,4.0
6.1963995,81.2109113,-0.17456631623361615,-0.14779915662498333,True,False,True,2,0,20.0
6.210861,81.190059,0.7479636870588088,0.1042448966348697,True,False,False,2,2,40.0
6.1963995,81.2109113,-0.17456631623361615,-0.14779915662498333,True,False,True,2,0,20.0
6.1963995,81.2109113,-0.5729315449280724,-0.17073252789150967,False,False,True,3,4,
6.197448,81.2148906,-0.33391240771139863,-0.13058921869367712,False,False,True,3,3,11.0
6.200719,81.199293,-0.4791109490112472,-0.16517944438877813,False,False,False,3,3,2.0
6.2010931,81.1973712,-0.47084201513383206,-0.15151119954653763,False,False,True,3,3,6.0
6.1994514,81.2129668,1.1002024155886438,-0.0514074620190533,False,False,True,4,3,4.0
6.1963995,81.2109113,-0.5109636204644903,-0.12070778873728757,False,False,True,4,3,1.0
6.1994514,81.2129668,1.1002024155886438,-0.0514074620190533,False,False,True,4,3,4.0
6.1963995,81.2109113,-0.5109636204644903,-0.12070778873728757,False,False,True,4,3,1.0
6.2740086,81.2276923,-0.05812109553831355,0.24882980049874018,False,False,False,8,4,4.0
6.1990936,81.2104225,-0.5729315449280724,-0.17073252789150967,False,False,True,9,0,
6.1990936,81.2104225,4.446470336622077,1.5111337022935434,False,False,False,10,5,6.0
6.2092156,81.2087333,-0.4335037148850127,0.06152518961023575,False,False,False,10,5,2.0
6.2083074,81.2092193,-0.46138928089362463,0.3637783836193566,False,False,False,10,5,12.0
6.2083074,81.2092193,-0.5060061865074037,0.6421694833645994,False,False,True,10,6,2.0
6.1990936,81.2104225,-0.5729315449280724,-0.17073252789150967,False,False,True,11,6,
6.1994514,81.2129668,-0.3637897998634829,-0.14117245475492388,True,False,False,12,3,1.0
6.2013975,81.1957455,-0.4056181488764008,-0.1382164474412653,True,False,False,1,3,1.0
6.2011736,81.1972238,-0.4474464978893187,-0.1382164474412653,True,False,True,1,4,3.0
6.2010865,81.1970094,-0.49857003557177393,-0.10570036699102094,True,False,False,1,6,2.0
6.2011736,81.1972238,-0.4474464978893187,-0.1382164474412653,True,False,True,1,4,3.0
6.2010865,81.1970094,-0.4892748469022366,-0.14634546755382638,True,False,True,1,0,3.0
6.1963995,81.2109113,-0.283350667146333,-0.15045855068050829,True,False,True,1,2,6.0
6.1963995,81.2109113,-0.283350667146333,-0.15045855068050829,True,False,True,1,2,6.0
6.1963995,81.2109113,-0.283350667146333,-0.15045855068050829,True,False,True,1,2,6.0
6.1963995,81.2109113,-0.283350667146333,-0.15045855068050829,True,False,True,1,2,6.0
6.2010865,81.1970094,-0.4056181488764008,-0.1382164474412653,True,False,False,1,4,3.0
6.2013975,81.1957455,-0.4056181488764008,-0.1382164474412653,True,False,False,1,3,1.0
6.1963995,81.2109113,-0.283350667146333,-0.15045855068050829,True,False,True,1,2,6.0
6.1340675,80.6810656,-0.294075884841953,0.10023480919386002,False,False,True,3,6,5.0
6.1340675,80.6810656,-0.4892748469022366,-0.07318428654077658,False,False,True,3,0,3.0
6.1340675,80.6810656,-0.46836067239577767,-0.06911977648449603,False,False,False,3,5,5.0
6.1202632,80.7215908,5.163527748272098,1.3157168641196613,False,True,False,6,0,16.0
5.998686,80.747616,0.3396869789901365,0.5361387862442374,True,False,True,1,3,8.0
6.051961,80.85888,1.4619611097544203,0.1805394971381377,True,False,True,2,2,30.0
6.051961,80.85888,0.2432313626410575,0.052976315935420924,True,False,True,2,0,20.0
6.051961,80.85888,0.7364776415632708,0.13845365705534637,True,False,False,2,6,6.0
6.061721,80.87304,-0.38352015317146304,-0.07634622760052458,True,False,False,2,0,2.0
6.0431558,80.8059458,-0.23830475282472913,-0.1544744876663875,True,False,False,2,4,2.0
6.0431558,80.8059458,-0.23830475282472913,-0.1544744876663875,True,False,False,2,4,2.0
6.0431558,80.8059458,-0.23830475282472913,-0.1544744876663875,True,False,False,2,4,2.0
6.047135,80.861794,-0.46381411272046047,-0.15409600681182464,True,False,True,2,6,2.0
6.0431558,80.8059458,-0.23830475282472913,-0.1544744876663875,True,False,False,2,4,2.0
6.068174,80.855501,0.46556539608230324,0.25431427537965845,True,False,False,2,1,6.0
6.047135,80.861794,-0.22913689550682934,-0.11852302170935751,True,False,False,2,5,5.0
6.051961,80.85888,1.817259827238665,0.5819545195678505,True,False,True,2,1,10.0
6.051961,80.85888,1.1002024155886438,0.15442827661093395,True,False,False,2,6,10.0
6.0412193,80.8155746,-0.15464805479889335,-0.06234559305736179,False,False,True,3,5,10.0
5.9959134,80.7323017,1.9367693958470023,0.609653402914355,False,False,False,3,4,6.0
5.9959134,80.7323017,1.9367693958470023,0.609653402914355,False,False,False,3,4,6.0
